 

stn;time;rsd300m0
PIG;192705;0
PIG;192706;1
PIG;192707;2
PIG;192708;2
PIG;192709;3
PIG;192710;0
PIG;192711;0
PIG;192712;0
PIG;192801;0
PIG;192802;1
PIG;192803;0
PIG;192804;0
PIG;192805;1
PIG;192806;0
PIG;192807;0
PIG;192808;1
PIG;192809;0
PIG;192810;3
PIG;192811;1
PIG;192812;0
PIG;192901;0
PIG;192902;0
PIG;192903;0
PIG;192904;1
PIG;192905;0
PIG;192906;0
PIG;192907;1
PIG;192908;0
PIG;192909;0
PIG;192910;1
PIG;192911;0
PIG;192912;0
PIG;193001;0
PIG;193002;0
PIG;193003;0
PIG;193004;0
PIG;193005;0
PIG;193006;0
PIG;193007;2
PIG;193008;0
PIG;193009;1
PIG;193010;0
PIG;193011;1
PIG;193012;0
PIG;193101;0
PIG;193102;0
PIG;193103;1
PIG;193104;0
PIG;193105;1
PIG;193106;0
PIG;193107;2
PIG;193108;1
PIG;193109;1
PIG;193110;0
PIG;193111;0
PIG;193112;0
PIG;193201;0
PIG;193202;0
PIG;193203;0
PIG;193204;0
PIG;193205;1
PIG;193206;0
PIG;193207;1
PIG;193208;1
PIG;193209;0
PIG;193210;1
PIG;193211;0
PIG;193212;0
PIG;193301;0
PIG;193302;0
PIG;193303;0
PIG;193304;0
PIG;193305;0
PIG;193306;1
PIG;193307;1
PIG;193308;0
PIG;193309;1
PIG;193310;0
PIG;193311;0
PIG;193312;0
PIG;193401;0
PIG;193402;0
PIG;193403;0
PIG;193404;1
PIG;193405;0
PIG;193406;0
PIG;193407;0
PIG;193408;3
PIG;193409;0
PIG;193410;0
PIG;193411;0
PIG;193412;0
PIG;193501;0
PIG;193502;0
PIG;193503;0
PIG;193504;0
PIG;193505;0
PIG;193506;0
PIG;193507;0
PIG;193508;2
PIG;193509;0
PIG;193510;3
PIG;193511;0
PIG;193512;1
PIG;193601;0
PIG;193602;0
PIG;193603;0
PIG;193604;0
PIG;193605;0
PIG;193606;0
PIG;193607;3
PIG;193608;0
PIG;193609;0
PIG;193610;0
PIG;193611;0
PIG;193612;1
