 

stn;time;hns000d0
SLF6BE;20201031;0
SLF6BE;20201101;0
SLF6BE;20201102;0
SLF6BE;20201103;0
SLF6BE;20201104;0
SLF6BE;20201105;0
SLF6BE;20201106;0
SLF6BE;20201107;0
SLF6BE;20201108;0
SLF6BE;20201109;0
SLF6BE;20201110;0
SLF6BE;20201111;0
SLF6BE;20201112;0
SLF6BE;20201113;0
SLF6BE;20201114;0
SLF6BE;20201115;0
SLF6BE;20201116;0
SLF6BE;20201117;-
SLF6BE;20201118;0
SLF6BE;20201119;0
SLF6BE;20201120;0
SLF6BE;20201121;0
SLF6BE;20201122;0
SLF6BE;20201123;0
SLF6BE;20201124;0
SLF6BE;20201125;0
SLF6BE;20201126;0
SLF6BE;20201127;0
SLF6BE;20201128;0
SLF6BE;20201129;0
SLF6BE;20201130;0
SLF6BE;20201201;0
SLF6BE;20201202;0
SLF6BE;20201203;0
SLF6BE;20201204;20
SLF6BE;20201205;0
SLF6BE;20201206;0
SLF6BE;20201207;0
SLF6BE;20201208;0
SLF6BE;20201209;0
SLF6BE;20201210;0
SLF6BE;20201211;0
SLF6BE;20201212;0
SLF6BE;20201213;0
SLF6BE;20201214;0
SLF6BE;20201215;0
SLF6BE;20201216;0
SLF6BE;20201217;0
SLF6BE;20201218;0
SLF6BE;20201219;0
SLF6BE;20201220;0
SLF6BE;20201221;0
SLF6BE;20201222;0
SLF6BE;20201223;0
SLF6BE;20201224;0
SLF6BE;20201225;0
SLF6BE;20201226;0
SLF6BE;20201227;17
SLF6BE;20201228;0
SLF6BE;20201229;0
SLF6BE;20201230;0
SLF6BE;20201231;0
SLF6BE;20210101;0
SLF6BE;20210102;0
SLF6BE;20210103;0
SLF6BE;20210104;0
SLF6BE;20210105;0
SLF6BE;20210106;0
SLF6BE;20210107;0
SLF6BE;20210108;0
SLF6BE;20210109;0
SLF6BE;20210110;0
SLF6BE;20210111;0
SLF6BE;20210112;0
SLF6BE;20210113;0
SLF6BE;20210114;0
SLF6BE;20210115;0
SLF6BE;20210116;0
SLF6BE;20210117;0
SLF6BE;20210118;0
SLF6BE;20210119;0
SLF6BE;20210120;0
SLF6BE;20210121;1
SLF6BE;20210122;0
SLF6BE;20210123;0
SLF6BE;20210124;0
SLF6BE;20210125;0
SLF6BE;20210126;0
SLF6BE;20210127;1
SLF6BE;20210128;0
SLF6BE;20210129;0
SLF6BE;20210130;0
SLF6BE;20210131;0
SLF6BE;20210201;0
SLF6BE;20210202;0
SLF6BE;20210203;0
SLF6BE;20210204;0
SLF6BE;20210205;0
SLF6BE;20210206;0
SLF6BE;20210207;0
SLF6BE;20210208;0
SLF6BE;20210209;0
SLF6BE;20210210;0
SLF6BE;20210211;0
SLF6BE;20210212;0
SLF6BE;20210213;0
SLF6BE;20210214;0
SLF6BE;20210215;0
SLF6BE;20210216;0
SLF6BE;20210217;0
SLF6BE;20210218;0
SLF6BE;20210219;0
SLF6BE;20210220;0
SLF6BE;20210221;0
SLF6BE;20210222;0
SLF6BE;20210223;0
SLF6BE;20210224;0
SLF6BE;20210225;0
SLF6BE;20210226;0
SLF6BE;20210227;0
SLF6BE;20210228;0
SLF6BE;20210301;0
SLF6BE;20210302;0
SLF6BE;20210303;0
SLF6BE;20210304;0
SLF6BE;20210305;0
SLF6BE;20210306;0
SLF6BE;20210307;0
SLF6BE;20210308;0
SLF6BE;20210309;0
SLF6BE;20210310;0
SLF6BE;20210311;0
SLF6BE;20210312;0
SLF6BE;20210313;0
SLF6BE;20210314;0
SLF6BE;20210315;0
SLF6BE;20210316;0
SLF6BE;20210317;0
SLF6BE;20210318;0
SLF6BE;20210319;0
SLF6BE;20210320;0
SLF6BE;20210321;0
SLF6BE;20210322;0
SLF6BE;20210323;0
SLF6BE;20210324;0
SLF6BE;20210325;0
SLF6BE;20210326;0
SLF6BE;20210327;0
SLF6BE;20210328;0
SLF6BE;20210329;0
SLF6BE;20210330;0
SLF6BE;20210331;0
SLF6BE;20210401;0
SLF6BE;20210402;0
SLF6BE;20210403;0
SLF6BE;20210404;0
SLF6BE;20210405;0
SLF6BE;20210406;0
SLF6BE;20210407;0
SLF6BE;20210408;0
