 

stn;time;tre200d0
GRC;18640101;-5.5
GRC;18640102;-11.6
GRC;18640103;-16.6
GRC;18640104;-6.2
GRC;18640105;-6.9
GRC;18640106;-6.1
GRC;18640107;-3.8
GRC;18640108;-4.6
GRC;18640109;-4.3
GRC;18640110;-6.1
GRC;18640111;-2.4
GRC;18640112;-3.1
GRC;18640113;-3.5
GRC;18640114;-4.2
GRC;18640115;-4.9
GRC;18640116;-6.0
GRC;18640117;-5.4
GRC;18640118;-6.2
GRC;18640119;-7.6
GRC;18640120;-4.2
GRC;18640121;-0.1
GRC;18640122;-1.6
GRC;18640123;-1.3
GRC;18640124;0.0
GRC;18640125;-1.4
GRC;18640126;-2.9
GRC;18640127;-3.4
GRC;18640128;-1.6
GRC;18640129;-6.3
GRC;18640130;-6.8
GRC;18640131;-5.8
GRC;18640201;-2.3
GRC;18640202;-2.3
GRC;18640203;-2.7
GRC;18640204;-5.0
GRC;18640205;-9.4
GRC;18640206;-9.8
GRC;18640207;-11.4
GRC;18640208;-13.7
GRC;18640209;-15.2
GRC;18640210;-12.7
GRC;18640211;-10.5
GRC;18640212;-6.8
GRC;18640213;1.8
GRC;18640214;2.6
GRC;18640215;4.8
GRC;18640216;1.3
GRC;18640217;-3.3
GRC;18640218;-9.4
GRC;18640219;-11.3
GRC;18640220;-8.6
GRC;18640221;-4.0
GRC;18640222;-2.5
GRC;18640223;0.2
GRC;18640224;0.6
GRC;18640225;1.5
GRC;18640226;-0.2
GRC;18640227;-0.4
GRC;18640228;-0.1
GRC;18640229;-0.4
GRC;18640301;-2.5
GRC;18640302;-2.3
GRC;18640303;-0.1
GRC;18640304;2.8
GRC;18640305;2.7
GRC;18640306;0.7
GRC;18640307;1.9
GRC;18640308;2.8
GRC;18640309;4.6
GRC;18640310;-2.1
GRC;18640311;-3.7
GRC;18640312;-1.4
GRC;18640313;-2.4
GRC;18640314;0.6
GRC;18640315;3.8
GRC;18640316;2.2
GRC;18640317;0.7
GRC;18640318;0.5
GRC;18640319;0.6
GRC;18640320;1.4
GRC;18640321;1.8
GRC;18640322;2.5
GRC;18640323;1.4
GRC;18640324;-0.9
GRC;18640325;0.7
GRC;18640326;-0.8
GRC;18640327;0.4
GRC;18640328;-1.1
GRC;18640329;-5.8
GRC;18640330;-4.9
GRC;18640331;-3.7
GRC;18640401;0.6
GRC;18640402;-2.8
GRC;18640403;-1.5
GRC;18640404;-0.4
GRC;18640405;1.4
GRC;18640406;0.0
GRC;18640407;1.6
GRC;18640408;-4.3
GRC;18640409;-3.0
GRC;18640410;1.1
GRC;18640411;2.0
GRC;18640412;4.1
GRC;18640413;5.4
GRC;18640414;5.7
GRC;18640415;6.4
GRC;18640416;3.6
GRC;18640417;-0.2
GRC;18640418;0.8
GRC;18640419;4.9
GRC;18640420;6.3
GRC;18640421;4.4
GRC;18640422;3.9
GRC;18640423;5.1
GRC;18640424;6.8
GRC;18640425;6.6
GRC;18640426;8.9
GRC;18640427;8.5
GRC;18640428;6.0
GRC;18640429;2.3
GRC;18640430;3.5
GRC;18640501;4.9
GRC;18640502;2.2
GRC;18640503;3.6
GRC;18640504;2.6
GRC;18640505;5.0
GRC;18640506;6.0
GRC;18640507;10.4
GRC;18640508;10.7
GRC;18640509;10.1
GRC;18640510;7.4
GRC;18640511;8.9
GRC;18640512;4.8
GRC;18640513;5.3
GRC;18640514;6.1
GRC;18640515;9.6
GRC;18640516;10.9
GRC;18640517;12.6
GRC;18640518;12.5
GRC;18640519;13.6
GRC;18640520;13.7
GRC;18640521;11.4
GRC;18640522;9.5
GRC;18640523;9.3
GRC;18640524;8.9
GRC;18640525;8.8
GRC;18640526;9.4
GRC;18640527;4.5
GRC;18640528;6.7
GRC;18640529;8.8
GRC;18640530;9.0
GRC;18640531;10.4
GRC;18640601;8.9
GRC;18640602;8.6
GRC;18640603;9.9
GRC;18640604;11.7
GRC;18640605;11.8
GRC;18640606;13.4
GRC;18640607;11.1
GRC;18640608;8.1
GRC;18640609;7.1
GRC;18640610;1.3
GRC;18640611;5.4
GRC;18640612;10.9
GRC;18640613;11.3
GRC;18640614;11.6
GRC;18640615;6.6
GRC;18640616;9.3
GRC;18640617;10.0
GRC;18640618;11.9
GRC;18640619;12.1
GRC;18640620;9.7
GRC;18640621;13.6
GRC;18640622;12.4
GRC;18640623;15.0
GRC;18640624;10.3
GRC;18640625;11.4
GRC;18640626;12.1
GRC;18640627;7.9
GRC;18640628;5.8
GRC;18640629;7.2
GRC;18640630;7.1
GRC;18640701;10.5
GRC;18640702;10.6
GRC;18640703;14.1
GRC;18640704;10.6
GRC;18640705;10.2
GRC;18640706;10.3
GRC;18640707;10.5
GRC;18640708;11.5
GRC;18640709;12.1
GRC;18640710;13.6
GRC;18640711;15.9
GRC;18640712;18.9
GRC;18640713;14.5
GRC;18640714;12.8
GRC;18640715;14.6
GRC;18640716;15.1
GRC;18640717;14.5
GRC;18640718;11.6
GRC;18640719;11.8
GRC;18640720;12.4
GRC;18640721;15.5
GRC;18640722;12.0
GRC;18640723;12.0
GRC;18640724;15.5
GRC;18640725;17.5
GRC;18640726;11.9
GRC;18640727;13.8
GRC;18640728;16.1
GRC;18640729;14.6
GRC;18640730;14.9
GRC;18640731;16.4
GRC;18640801;18.0
GRC;18640802;16.6
GRC;18640803;13.0
GRC;18640804;14.8
GRC;18640805;15.8
GRC;18640806;17.7
GRC;18640807;17.0
GRC;18640808;16.1
GRC;18640809;17.2
GRC;18640810;11.9
GRC;18640811;6.4
GRC;18640812;6.9
GRC;18640813;10.1
GRC;18640814;8.3
GRC;18640815;11.5
GRC;18640816;12.8
GRC;18640817;13.5
GRC;18640818;13.8
GRC;18640819;12.7
GRC;18640820;11.3
GRC;18640821;12.4
GRC;18640822;15.9
GRC;18640823;12.6
GRC;18640824;7.6
GRC;18640825;3.8
GRC;18640826;4.8
GRC;18640827;3.3
GRC;18640828;5.4
GRC;18640829;8.1
GRC;18640830;10.3
GRC;18640831;11.8
GRC;18640901;12.8
GRC;18640902;10.5
GRC;18640903;7.8
GRC;18640904;6.3
GRC;18640905;8.9
GRC;18640906;11.6
GRC;18640907;12.3
GRC;18640908;12.1
GRC;18640909;13.6
GRC;18640910;14.1
GRC;18640911;11.8
GRC;18640912;4.1
GRC;18640913;3.8
GRC;18640914;6.2
GRC;18640915;9.6
GRC;18640916;10.9
GRC;18640917;11.1
GRC;18640918;7.6
GRC;18640919;4.9
GRC;18640920;3.1
GRC;18640921;5.1
GRC;18640922;8.8
GRC;18640923;8.3
GRC;18640924;8.0
GRC;18640925;8.1
GRC;18640926;8.0
GRC;18640927;7.9
GRC;18640928;8.1
GRC;18640929;8.4
GRC;18640930;9.4
GRC;18641001;6.4
GRC;18641002;5.9
GRC;18641003;4.5
GRC;18641004;3.4
GRC;18641005;2.9
GRC;18641006;2.5
GRC;18641007;2.2
GRC;18641008;3.6
GRC;18641009;3.1
GRC;18641010;1.2
GRC;18641011;0.7
GRC;18641012;1.7
GRC;18641013;2.0
GRC;18641014;1.4
GRC;18641015;0.8
GRC;18641016;0.0
GRC;18641017;6.3
GRC;18641018;4.3
